英文,詞性,中文,級別
artistic,adj.,藝術的,4
ashamed,adj.,慚愧的,4
aspect,n.,外觀,4
aspirin,n.,阿斯匹林,4
assemble,v.,集合,4
assembly,n.,與會者,4
assign(ment),v./(n.),分配,4
assistance,n.,協助,4
associate,adj./n./v.,同伴,4
association,n.,協會,4
assurance,n.,保證,4
assure,v.,保證,4
athletic,adj.,運動的,4
atmosphere,n.,大氣,4
atom,n.,原子,4
atomic,adj.,原子的,4
attach(ment),v./(n.),附上,4
attraction,n.,吸引,4
audio,adj.,音頻的,4
authentic,adj.,可靠的,4
authority,n.,權力,4
autobiography,n.,自傳,4
autograph,n./v.,親筆,4
await,v.,等候,4
bald,adj.,禿頭的,4
ballet,n.,芭蕾舞,4
bandage,n./v.,繃帶,4
bankrupt,adj./v./n.,破產者,4
bargain,n./v.,交易,4
barrier,n.,障礙,4
basin,n.,盆,4
battery,n.,電池,4
beggar,n.,乞丐,4
behavior,n.,行為,4
bin,n.,(貯存谷物等的)容器,4
biography,n.,傳記,4
biology,n.,生物學,4
blade,n.,葉片,4
blend,v./n.,混合,4
blessing,n.,祝福,4
blink,v./n.,眨眼,4
bloom,n./v.,花,4
blossom,n./v.,花,4
boast,v./n.,吹牛,4
bond,n./v.,捆綁物,4
bounce,v./n.,跳,4
bracelet,n.,手鐲,4
breed,n./v.,種類,4
bridegroom/groom,n.,新郎,4
broke,adj.,一文不名的,4
broom,n.,掃帚,4
brutal,adj.,殘忍的,4
bulletin,n.,公告,4
burglar,n.,竊賊,4
cabinet,n.,櫥櫃,4
calculate,v.,計算,4
calculation,n.,計算,4
calorie,n.,卡路裡（熱量單位）,4
campaign,n./v.,戰役,4
candidate,n.,候選人,4
cane,n.,手杖,4
canoe,n./v.,獨木舟,4
capacity,n.,容量,4
capital(ism),n.,首都,4
capitalist,n.,資本家,4
cargo,n.,貨物,4
carrier,n.,運送者,4
carve,v.,雕刻,4
catalogue,n./v.,目錄,4
category,n.,種類,4
cease,v./n.,停止,4
celebration,n.,慶祝,4
chamber,n.,室,4
championship,n.,冠軍身份,4
characteristic,n./adj.,特性,4
charity,n.,慈悲,4
chemistry,n.,化學,4
cherish,v.,珍愛,4
chew,v./n.,咀嚼,4
choke,v./n.,窒息,4
chorus,n.,合唱隊,4
circular,adj.,圓形的,4
circulate,v.,(使)流通,4
circulation,n.,流通,4
circumstance,n.,環境,4
civilian,adj./n.,平民,4
civilization,n.,文明,4
clarify,v.,澄清,4
clash,n./v.,衝突,4
classification,n.,分類,4
classify,v.,分類,4
claw,n./v.,爪,4
cliff,n.,懸崖,4
clumsy,adj.,笨拙的,4
coarse,adj.,粗糙的,4
code,n./v.,代碼,4
collapse,n./v.,崩潰,4
colleague,n.,同事,4
combination,n.,組合,4
comedy,n.,喜劇,4
commander,n.,司令官,4
comment,n./v.,注解,4
commerce,n.,商業,4
commit,v.,委托(托付),4
communication,n.,交流,4
community,n.,社區,4
companion,n.,朋友,4
competition,n.,競爭,4
competitive,adj.,競爭的,4
competitor,n.,競爭者,4
complicate,v.,弄復雜,4
compose,v.,組成,4
composer,n.,作曲家,4
composition,n.,作文,4
concentrate,v.,濃縮,4
concentration,n.,集中,4
concept,n.,觀念,4
concerning,prep.,關於,4
concrete,adj./n./v.,凝結物,4
conductor,n.,領導者,4
conference,n.,會議,4
confess,v.,承認,4
confidence,n.,信心,4
confusion,n.,混亂,4
congratulate,v.,祝賀,4
congress,n.,國會,4
conquer,v.,克服,4
conscience,n.,良心,4
consequence,n.,結果,4
consequent,adj.,隨後發生的事情,4
conservative,adj./n.,保守的,4
consist,v.,組成,4
consistent,adj.,一致的,4
constitute,v.,構成,4
constitution,n.,構成,4
construct,v.,構造,4
construction,n.,建築,4
constructive,adj.,建設性的,4
consult,v.,商討,4
consultant,n.,顧問,4
consume,v.,消耗,4
consumer,n.,消費者,4
container,n.,容器,4
content,n./adj.,內容,4
content(ment),v./(n.),使滿足,4
contest,n./v.,競賽,4
context,n.,上下文,4
continual,adj.,持續不斷的,4
continuous,adj.,連續的,4
contrary,n./adj.,相反的,4
contrast,n./v.,差別,4
contribute,v.,有助於,4
contribution,n.,捐助,4
convenience,n.,方便,4
convention,n.,大會,4
conventional,adj.,傳統的,4
converse,v.,相反的事物,4
convey,v.,傳達,4
convince,v.,說服,4
cooperate,v.,合作,4
cooperation,n.,合作,4
cooperative,adj./n.,合作的,4
cope,v.,競爭,4
copper,n./adj.,銅,4
cord,n.,繩索,4
correspond,v.,符合,4
costume,n.,裝束,4
cottage,n.,小屋,4
council,n.,會議,4
counter,n./v./adj./adv.,計算器,4
courageous,adj.,勇敢的,4
courtesy,n.,禮貌,4
coward,n.,懦弱的人,4
crack,n./v.,裂縫,4
craft,n.,技藝,4
creation,n.,創造,4
creativity,n.,創造力,4
creep,v.,爬,4
critic,n.,批評家,4
critical,adj.,批評的,4
criticism,n.,批評,4
criticize,v.,批評,4
cruelty,n.,殘酷,4
crunchy,adj.,發嘎吱嘎吱聲的,4
crush,n./v.,壓碎,4
cube,n./v.,立方體,4
cue,n./v.,提示,4
cunning,adj./n.,狡猾的,4
curiosity,n.,好奇心,4
curl,n./v.,拳曲,4
curse,n./v.,咒罵,4
curve,n./v.,曲線,4
cushion,n./v.,墊子,4
damp,adj./n./v.,潮溼,4
deadline,n.,最後期限,4
declare,v.,宣布,4
decoration,n.,裝飾,4
defeat,n./v.,敗北,4
defend,v.,防護,4
defense,n.,防衛,4
defensible,adj.,可防衛的,4
defensive,adj.,防衛的,4
definite,adj.,明確的,4
delicate,adj.,細致優雅的,4
delight,n./v.,高興,4
delightful,adj.,令人愉快的,4
demand,n./v.,要求,4
demonstrate,v.,示範,4
demonstration,n.,示範,4
dense,adj.,密集的,4
depart,v.,離開,4
departure,n.,離開,4
dependent,adj./n.,依賴他人者,4
depression,n.,不景氣,4
deserve,v.,該得到,4
desperate,adj.,不顧一切的,4
despite,prep.,輕視,4
destruction,n.,破壞,4
detective,n./adj.,偵探,4
determination,n.,決心,4
device,n.,裝置,4
devise,v.,設計,4
devote,v.,投入於,4
dew,n.,露珠,4
diagram,n./v.,圖表,4
differ,v.,不一致,4
digest,n./v.,文摘,4
digital,adj.,數字顯示的,4
dignity,n.,尊嚴,4
diligence,n.,勤奮,4
diligent,adj.,勤勉的,4
diploma,n.,文憑,4
diplomat,n.,外交官,4
disability,n.,無力,4
disadvantage,n./v.,缺點,4
disappoint(ment),v./(n.),使失望,4
disaster,n.,災禍,4
discipline,n./v.,訓練,4
discourage(ment),v./(n.),使洩氣；勸阻,4
disguise,v./n.,假面目,4
disgust,n./v.,厭惡,4
dismiss,v.,解散,4
disorder,n./v.,雜亂,4
dispute,n./v.,爭論,4
distinct,adj.,清楚的,4
distinguish,v.,區別,4
distinguished,adj.,卓著的,4
distribute,v.,分配,4
distribution,n.,分配,4
district,n.,區域,4
disturb,v.,擾亂,4
diverse,adj.,不同的,4
diversity,n.,差異,4
divine,adj.,神的,4
divorce,n./v.,離婚,4
dodge,v./n.,避開,4
dominant,adj.,佔優勢的,4
dominate,v.,支配,4
draft,n./v.,氣流,4
dread,n./v.,恐懼,4
drift,v./n.,漂流物,4
drill,n./v.,鑽孔機,4
drowsy,adj.,昏昏欲睡的,4
durable,adj.,持久的,4
dusty,adj.,灰塵多的,4
dye,n./v.,顏料,4
dynamic,adj.,動態的,4
dynasty,n.,朝代,4
earnest,adj./n.,定金,4
earphone,n.,耳機,4
economic,adj.,經濟上的,4
economical,adj.,節儉的,4
economics,n.,經濟學,4
economist,n.,經濟學者,4
economy,n.,經濟,4
efficiency,n.,效率,4
elastic,adj./n.,松緊帶,4
electronics,n.,電子學,4
elegant,adj.,優雅的,4
elementary,adj.,初步的,4
eliminate,v.,除去,4
elsewhere,adv.,在別處,4
embarrass(ment),v./(n.),使窘迫,4
embassy,n.,大使館,4
emerge,v.,浮現,4
emphasis,n.,強調,4
empire,n.,帝國,4
enclose,v.,圍繞,4
encounter,n./v.,相會,4
endanger,v.,危及,4
endure,v.,忍受,4
enforce(ment),v./(n.),強制執行,4
engineering,n.,工程學,4
enlarge(ment),v./(n.),擴大,4
enormous,adj.,巨大的,4
ensure,v.,確定,4
entertain(ment),v./(n.),娛樂,4
enthusiasm,n.,巨大的熱情,4
equality,n.,平等,4
equip(ment),v./(n.),裝備,4
era,n.,時代,4
essential,adj./n.,要素,4
establish(ment),v./(n.),建立,4
estimate,n./v.,估計,4
ethnic,adj./n.,人種的,4
evaluate,v.,評估,4
evaluation,n.,評估,4
eventual,adj.,最後的,4
evidence,n./v.,根據,4
evident,adj.,顯然的,4
exaggerate,v.,誇大,4
exception,n.,例外,4
exhaust,n./v.,排氣,4
exhibit,n./v.,顯示,4
expand,v.,使膨脹,4
expansion,n.,擴充,4
experimental,adj.,實驗的,4
explanation,n.,解釋,4
explosion,n.,爆發,4
explosive,adj./n.,炸藥,4
expose,v.,使暴露,4
exposure,n.,暴露,4
extend,v.,擴充,4
extent,n.,範圍,4
facial,adj.,臉部的,4
facility,n.,設施；設備,4
faithful,adj.,忠實的,4
fame,n.,名望,4
fantastic,adj.,奇妙的,4
fantasy,n.,幻想,4
farewell,n.,辭別,4
fasten,v.,拴緊,4
fatal,adj.,致命的,4
favorable,adj.,有利的,4
fax,n./v.,傳真,4
feast,n./v.,宴會,4
feedback,n.,反饋,4
ferry,n./v.,渡船,4
fertile,adj.,可繁殖的,4
fetch,v./n.,取得,4
fiction,n.,小說,4
fierce,adj.,兇猛的,4
finance,n./v.,財政,4
financial,adj.,財政的,4
fireplace,n.,壁爐,4
flatter,v.,奉承,4
flea,n.,跳蚤,4
flee,v.,逃避,4
flexible,adj.,易曲的,4
fluent,adj.,流利的,4
flush,v./n.,流溢,4
foam,n./v.,泡沫,4
forbid,v.,禁止,4
forecast,n./v.,預想,4
formation,n.,形成,4
formula,n.,客套語,4
fort,n.,堡壘,4
fortunate,adj.,幸運的,4
fossil,n./adj.,化石,4
foundation,n.,基礎,4
founder,n.,創立者,4
fragile,adj.,易碎的,4
frame,n./v.,框,4
frequency,n.,頻率,4
freshman,n.,新手,4
frost,n./v.,霜,4
frown,n./v.,皺眉,4
frustrate,v.,挫敗,4
frustration,n.,挫折,4
fulfill(ment),v./(n.),履行,4
functional,adj.,功能的,4
fundamental,adj./n.,基本原理,4
funeral,n.,葬禮,4
furious,adj.,狂怒的,4
furnish,v.,供給,4
furthermore,adv.,此外,4
gallery,n.,走廊,4
gaze,n./v.,注視,4
gear,n./v.,齒輪,4
gender,n.,性,4
gene,n.,基因,4
generation,n.,一代,4
generosity,n.,慷慨,4
genius,n.,天才,4
genuine,adj.,真正的,4
germ,n.,細菌,4
gifted,adj.,有天才的,4
gigantic,adj.,巨人般的,4
giggle,n./v.,吃吃地笑,4
ginger,n.,姜,4
glimpse,n./v.,一瞥,4
globe,n.,球,4
glorious,adj.,光榮的,4
goods,n.,貨物,4
gown,n.,睡衣,4
grace,n./v.,優雅,4
graceful,adj.,優美的,4
gracious,adj.,親切的,4
graduation,n.,畢業,4
grammar,n.,語法學,4
grammatical,adj.,語法的,4
graph,n./v.,曲線圖,4
grateful,adj.,感謝的,4
gratitude,n.,感激之情,4
grave,n./adj.,墓穴,4
greasy,adj.,油膩的,4
greeting(s),n.,問候,4
grief,n.,傷心,4
grind,v./n.,磨,4
guarantee,v./n.,擔保,4
guardian,n.,看守者,4
guilt,n.,罪行,4
guilty,adj.,犯罪的,4
gulf,n.,海灣,4
habitual,adj.,習慣的,4
halt,n./v.,停止,4
handwriting,n.,筆跡,4
hardship,n.,艱難,4
hardware,n.,硬體,4
harmony,n.,協調,4
harsh,adj.,粗糙的,4
haste,n.,匆忙,4
hasten,v.,催促,4
hatred,n.,憎恨,4
hawk,n.,鷹,4
helicopter,n.,直升機,4
herd,n./v.,獸群,4
hesitation,n.,猶豫,4
hive,n.,蜂房,4
homeland,n.,本國,4
honeymoon,n./v.,蜜月,4
hook,n./v.,鉤,4
horizon,n.,地平線,4
horrify,v.,使恐懼,4
hose,n./v.,水管,4
household,n.,一家人,4
housework,n.,家事,4
humanity,n.,人性,4
humidity,n.,溼氣,4
hurricane,n.,颶風,4
hush,n./v.,肅靜,4
hydrogen,n.,氫,4
identical,adj.,同一的,4
identification,n.,識別,4
identify,v.,識別,4
idiom,n.,習語,4
idle,adj./v.,懶惰的,4
idol,n.,偶像,4
ignorance,n.,無知,4
ignorant,adj.,無知識的,4
illustrate,v.,舉例說明,4
illustration,n.,例證,4
imaginary,adj.,想像的,4
imaginative,adj.,想像的,4
imitate,v.,模仿,4
imitation,n.,模仿,4
immigrant,n.,移民,4
immigrate,v.,使移居入境,4
immigration,n.,移民,4
impact,n./v.,衝擊,4
imply,v.,暗示,4
impose,v.,徵(稅),4
impression,n.,印象,4
incident,n.,事件,4
including,prep.,包含,4
incredible,adj.,難以置信的,4
indication,n.,指示,4
infant,n.,嬰兒,4
infection,n.,傳染,4
inflation,n.,脹大,4
influential,adj.,有影響的,4
informative,adj.,提供消息的,4
ingredient,n.,成分,4
initial,adj./n./v.,字首,4
injure,v.,傷害,4
innocence,n.,無罪,4
input,n./v.,輸入,4
insert,v./n.,插入物,4
inspection,n.,檢驗,4
inspiration,n.,靈感,4
inspire,v.,使感動,4
install,v.,安裝,4
instinct,n.,本能,4
instruct,v.,教,4
instructor,n.,教員,4
insult,n./v.,侮辱,4
insurance,n.,保險,4
intellectual,adj./n.,有知識者,4
intelligence,n.,智力,4
intend,v.,計劃,4
intense,adj.,非常的,4
intensity,n.,強烈,4
intensive,adj.,加強的,4
intention,n.,意圖,4
interact,v.,互相影響,4
interaction,n.,交互作用,4
interfere,v.,妨礙,4
intermediate,adj./n./v.,中間物,4
interpret,v.,解釋,4
interruption,n.,打擾,4
intimate,adj./n.,親密的,4
intuition,n.,直覺,4
invade,v.,侵入,4
invasion,n.,侵犯,4
invention,n.,發明,4
invest(ment),v./(n.),投資,4
investigation,n.,調查,4
involve(ment),v./(n.),涉及,4
isolate,v.,使隔離,4
isolation,n.,隔絕,4
issue,n./v.,發行,4
jealousy,n.,妒忌,4
keen,adj.,鋒利的,4
kettle,n.,茶壺,4
kneel,v.,跪下,4
knob,n.,把手,4
labor,n./v.,勞動,4
laboratory/lab,n.,實驗室,4
lag,n./v.,落後,4
landmark,n.,陸標,4
landscape,n./v.,風景,4
largely,adv.,大量地,4
launch,v./n.,下水,4
lawful,adj.,法律許可的,4
lean,v./adj.,瘦肉,4
learned,adj.,有學問的,4
lecture,n./v.,演講,4
lecturer,n.,演講者,4
legend,n.,傳說,4
leisurely,adj./adv.,悠閒的,4
lengthen,v.,加長,4
liar,n.,說謊者,4
librarian,n.,圖書館員,4
license,n./v.,執照,4
lifeguard,n.,衛兵,4
limitation,n.,限制,4
linen,n.,亞麻布,4
lipstick,n.,口紅,4
liquor,n.,酒,4
literary,adj.,文學的,4
literature,n.,文學,4
loan,n./v.,貸款,4
lobster,n.,龍蝦,4
logic,n.,邏輯,4
logical,adj.,合乎邏輯的,4
loosen,v.,放松,4
lousy,adj.,汙穢的,4
loyal,adj.,忠誠的,4
loyalty,n.,忠貞,4
luxurious,adj.,豪華的,4
luxury,n.,奢侈,4
machinery,n.,機器,4
magnetic,adj.,有磁性的,4
magnificent,adj.,華麗的,4
makeup,n.,組成,4
manual,n./adj.,手冊,4
manufacture,n./v.,產品,4
manufacturer,n.,制造業者,4
marathon,n.,馬拉松,4
margin,n.,頁邊的空白,4
maturity,n.,成熟,4
maximum,adj./n.,極點,4
measurable,adj.,可測量的,4
measure(s),n.,措施,4
mechanic,n.,機械工,4
mechanical,adj.,機械的,4
memorable,adj.,值得紀念的,4
memorial,adj./n.,紀念物,4
memorize,v.,記住,4
merchant,n.,商人,4
mercy,n.,仁慈,4
mere,adj.,小湖,4
merit,n.,優點,4
messenger,n.,報信者,4
messy,adj.,散亂的,4
microscope,n.,顯微鏡,4
mild,adj.,溫和的,4
mill,n./v.,壓榨機,4
millionaire,n.,百萬富翁,4
miner,n.,礦工,4
mineral,n.,礦物,4
minimum,adj./n.,最小的,4
minister,n.,部長,4
ministry,n.,部,4
mischief,n.,損害,4
miserable,adj.,悲慘的,4
misfortune,n.,不幸,4
mislead,v.,誤導,4
misunderstand,v.,誤解,4
moderate,adj.,適度的,4
modest,adj.,謙遜的,4
modesty,n.,謙遜,4
monitor,n./v.,監督器,4
monument,n.,紀念碑,4
moreover,adv.,而且,4
motivate,v.,給與動機,4
motivation,n.,動機,4
mountainous,adj.,多山的,4
muddy,adj.,泥濘的,4
mule,n.,騾,4
multiple,adj.,倍數,4
murderer,n.,兇手,4
murmur,n./v.,低語,4
mutual,adj.,相互的,4
mysterious,adj.,神祕的,4
namely,adv.,即,4
nationality,n.,國籍,4
needy,adj.,貧窮的,4
neglect,n./v.,疏忽,4
negotiate,v.,商議,4
nevertheless,adv.,然而,4
nightmare,n.,夢魘,4
noble,adj./n.,貴族,4
nonsense,n.,無意義的事,4
nowadays,adv.,現在,4
nuclear,adj.,核子的,4
numerous,adj.,很多的,4
nursery,n.,托兒所,4
nutritious,adj.,滋養的,4
obedience,n.,服從,4
obedient,adj.,服從的,4
objection,n.,異議,4
objective,n./adj.,目的,4
observation,n.,觀察,4
obstacle,n.,障礙,4
obtain,v.,獲得,4
occasional,adj.,偶然的,4
occupation,n.,職業,4
occupy,v.,佔領,4
offend,v.,犯罪,4
offense,n.,犯罪,4
offensive,adj.,令人不快的,4
opera,n.,歌劇,4
oppose,v.,反對,4
option,n.,選擇權,4
orbit,n./v.,軌道,4
orchestra,n.,管弦樂隊,4
orientation,n.,定方位,4
orphan,n./v.,孤兒,4
otherwise,adv.,否則,4
outcome,n.,結果,4
outstanding,adj.,傑出的,4
oval,adj./n.,橢圓形,4
overcoat,n.,外套大衣,4
overcome,v.,戰勝,4
overlook,v.,俯瞰,4
overnight,adv./adj.,前一天晚上,4
overthrow,v.,推翻,4
oxygen,n.,氧,4
pace,n./v.,速度,4
panel,n.,嵌板,4
parachute,n./v.,降落傘,4
paragraph,n.,段落,4
partial,adj.,部分的,4
participation,n.,參與,4
partnership,n.,合夥,4
passive,adj.,消極的,4
pasta,n.,意大利面食,4
paw,n./v.,爪,4
peculiar,adj.,奇特的,4
peep,n./v.,一瞥,4
peer,n./v.,同等的人,4
penalty,n.,處罰,4
percent,n.,百分比,4
percentage,n.,百分比,4
perfection,n.,完美,4
perfume,n./v.,香水,4
permanent,adj.,永久的,4
persuasion,n.,說服,4
persuasive,adj.,有說服力的,4
pessimistic,adj.,悲觀的,4
pest,n.,令人討厭之物,4
phenomenon,n.,現象,4
philosopher,n.,哲學家,4
philosophical,adj.,哲學的,4
philosophy,n.,哲學,4
photography,n.,攝影,4
physical,adj.,身體的,4
physician,n.,醫師,4
physicist,n.,物理學家,4
physics,n.,物理學,4
pickle,n.,鹽滷,4
pioneer,n./v.,先鋒,4
plentiful,adj.,許多的,4
plot,n./v.,小塊土地,4
plum,n.,李子,4
plumber,n.,水管工人,4
poisonous,adj.,有毒的,4
polish,n./v.,波蘭的,4
popularity,n.,名聲,4
portable,adj.,可攜帶的,4
portray,v.,描繪,4
possess,v.,持有,4
possession,n.,擁有,4
postage,n.,郵資,4
potential,adj./n.,潛在性,4
precise,adj.,精確的,4
predict,v.,預知,4
prediction,n.,預言,4
pregnancy,n.,懷孕,4
pregnant,adj.,懷孕的,4
presentation,n.,贈與,4
preservation,n.,保存,4
preserve,v.,保護,4
prevention,n.,阻止,4
prime,adj./n.,最佳部分,4
primitive,adj.,原始人,4
priority,n.,優先權,4
privacy,n.,隱私,4
privilege,n./v.,特權,4
procedure,n.,程序,4
proceed,v.,繼續進行,4
productive,adj.,能生產的,4
profession,n.,職業,4
professional,adj./n.,專業人才,4
profitable,adj.,有利潤的,4
prominent,adj.,卓越的,4
promising,adj.,有希望的,4
promotion,n.,晉級,4
prompt,v./adj./n.,激勵,4
pronunciation,n.,發音,4
proposal,n.,提議,4
prosper,v.,繁榮,4
prosperity,n.,繁榮,4
prosperous,adj.,成功的,4
protein,n.,蛋白質,4
protest,n./v.,抗議,4
psychological,adj.,心理學的,4
psychologist,n.,心理學家,4
psychology,n.,心理學,4
publication,n.,出版物,4
publicity,n.,名聲,4
publish,v.,出版,4
publisher,n.,出版者,4
pursue,v.,追趕,4
pursuit,n.,追蹤,4
quarrel,n./v.,吵架,4
quilt,n./v.,棉被,4
quotation,n.,引用語,4
radar,n.,雷達,4
rage,n./v.,憤怒,4
rainfall,n.,降雨,4
raisin,n.,葡萄幹,4
realistic,adj.,現實的,4
rebel,n./v.,叛徒,4
recall,v./n.,回憶,4
reception,n.,接待,4
recipe,n.,食譜,4
recognition,n.,贊譽,4
recovery,n.,恢復,4
recreation,n.,娛樂,4
recycle,v.,使再循環,4
reduction,n.,減少,4
refer,v.,提交,4
reference,n.,參考,4
reflect,v.,反射,4
reflection,n.,反映,4
reform,n./v.,改革,4
refugee,n.,難民,4
refund,n./v.,償還,4
refusal,n.,拒絕,4
regarding,prep.,關於,4
register,v./n.,寄存器,4
registration,n.,登記,4
regulate,v.,管理,4
regulation,n.,規則,4
rejection,n.,拒絕,4
relaxation,n.,松弛,4
relevant,adj.,有關聯的,4
relieve,v.,減輕,4
reluctant,adj.,不情願的,4
remark,n./v.,評論,4
remarkable,adj.,不平常的,4
remedy,n./v.,藥物,4
renew,v.,使更新,4
repetition,n.,重復,4
representation,n.,表示法,4
reputation,n.,名譽,4
rescue,n./v.,援救,4
research,n./v.,研究,4
researcher,n.,研究人員,4
resemble,v.,相似,4
reservation,n.,保留,4
resign,v.,辭職,4
resignation,n.,辭職,4
resistance,n.,抵抗力,4
resolution,n.,解析,4
resolve,v./n.,決定,4
respectable,adj.,值得尊重的,4
respectful,adj.,表示尊敬的,4
restore,v.,回復,4
restriction,n.,限制,4
retain,v.,保持,4
retire(ment),v./(n.),退休,4
retreat,n./v.,休息寓所,4
reunion,n.,團圓,4
revenge,n./v.,報仇,4
revise,v.,校訂,4
revision,n.,校訂,4
revolution,n.,革命,4
revolutionary,adj./n.,革命者,4
reward,n./v.,報酬,4
rhyme,n./v.,韻,4
rhythm,n.,旋律,4
riddle,n.,謎,4
robber,n.,強盜,4
romance,n.,冒險故事,4
route,n./v.,路徑,4
ruin,v./n.,毀滅,4
rural,adj.,鄉下的,4
rusty,adj.,生鏽的,4
sacrifice,n./v.,犧牲,4
satellite,n.,人造衛星,4
satisfaction,n.,滿足,4
scarcely,adv.,簡直不,4
scenery,n.,風景,4
scold,v./n.,好罵街的人,4
scoop,n./v.,鏟子,4
scratch,n./v.,抓痕,4
sculpture,n./v.,雕刻,4
secure,v./adj.,無慮的,4
seize,v.,抓住,4
settler,n.,移民者,4
severe,adj.,嚴格的,4
sew,v.,縫紉,4
shade,n./v.,蔭,4
shady,adj.,蔭涼的,4
shameful,adj.,可恥的,4
shave,v./n.,修面,4
shelter,n./v.,庇護所,4
shift,n./v.,變化,4
sightseeing,n.,觀光,4
signature,n./adj.,籤字,4
significance,n.,重要性,4
sincerity,n.,誠實,4
singular,adj./n.,單數,4
site,n./v.,位置,4
sketch,n./v.,素描,4
skyscraper,n.,摩天樓,4
slight,adj./n./v.,輕蔑,4
slogan,n.,吶喊聲,4
socket,n.,窩,4
software,n.,軟體,4
solar,adj.,太陽的,4
spade,n.,鏟子,4
spare,adj./v./n.,剩餘,4
spark,n./v.,火花,4
spear,n./v.,矛,4
species,n.,種,4
spiritual,adj.,精神上的,4
splendid,adj.,光亮的,4
split,v./n.,劈開,4
sprinkle,v./n.,灑,4
stab,n./v.,刺,4
statistic(s),n.,統計數據,4
status,n.,狀態,4
stem,n./v.,莖,4
stereo,n.,鉛版,4
stingy,adj.,小氣的,4
stocking(s),n.,長襪,4
strengthen,v.,加強,4
stripe,n.,斑紋,4
strive,v.,努力,4
stroke,n./v.,筆劃,4
submarine,n./adj.,潛水艇,4
sue,v.,控告,4
suggestion,n.,提議,4
summarize,v.,概述,4
surgeon,n.,外科醫生,4
surgery,n.,外科,4
surrender,v./n.,交出,4
surroundings,n.,環境,4
suspicious,adj.,可疑的,4
sway,n./v.,搖擺,4
syllable,n.,音節,4
sympathetic,adj.,有同情心的,4
sympathy,n.,同情,4
systematic,adj.,有系統的,4
technician,n.,技師,4
technological,adj.,技術的,4
telegraph,n./v.,電報,4
telescope,n.,望遠鏡,4
tendency,n.,趨向,4
tense,adj./v.,緊張的,4
tension,n.,緊張,4
terror,n.,恐怖,4
theme,n.,主題,4
thorough,adj.,十分的,4
thoughtful,adj.,深思的,4
tickle,v./n.,胳肢,4
timetable,n.,時間表,4
timid,adj.,膽小的,4
tolerable,adj.,可容忍的,4
tolerance,n.,寬容,4
tolerant,adj.,寬容的,4
tolerate,v.,寬容,4
tomb,n.,墳墓,4
tortoise,n.,龜,4
torture,n./v.,拷問,4
tragedy,n.,悲劇,4
tragic,adj.,悲慘的,4
transfer,n./v.,遷移,4
transform,v.,使轉換,4
translate,v.,翻譯,4
translation,n.,翻譯,4
translator,n.,翻譯者,4
transportation,n.,運輸,4
tremble,v./n.,戰栗,4
tremendous,adj.,巨大的,4
tribal,adj.,部落的,4
triumph,n./v.,凱旋,4
troublesome,adj.,麻煩的,4
tumble,v./n.,跌倒,4
twig,n.,小枝,4
universal,adj./n.,全世界的,4
urge,n./v.,衝動,4
urgent,adj.,緊急的,4
usage,n.,用法,4
vacancy,n.,空,4
vain,adj.,無價值的,4
vast,adj.,巨大的,4
vegetarian,n.,素食者,4
vessel,n.,船,4
violate,v.,違犯,4
violation,n.,違反,4
virtue,n.,德行,4
virus,n.,病毒,4
visual,adj.,視覺的,4
vital,adj.,生命的,4
voluntary,adj.,自動的,4
volunteer,n./v.,志願者,4
voyage,n./v.,航行,4
waken,v.,喚醒,4
website,n.,網站（全球資訊網的主機站）,4
welfare,n.,福利,4
wink,n./v.,眨眼,4
wit,n.,機智,4
witch/wizard,n.,女巫/巫師,4
withdraw,v.,撤回,4
witness,n./v.,證人,4
workout,n.,試驗,4
workplace,n.,工作場所,4
wreck,n./v.,失事,4
yawn,n./v.,哈欠,4
youthful,adj.,年輕的,4
abnormal,adj.,反常的,5
abolish,v.,廢止,5
abortion,n.,流產,5
abrupt,adj.,突然的,5
absurd,adj.,荒謬的,5
abundant,adj.,豐富的,5
abuse,n./v.,濫用,5
accelerate,v.,加速,5
accessible,adj.,易接近的,5
accommodate,v.,使適應,5
accommodation,n.,膳宿,5
accord,n./v.,一致,5
accounting,n.,會計學,5
acknowledge(ment),v./(n.),承認；認可；致謝,5
acquaint,v.,使認識,5
acquisition,n.,獲得,5
activist,n.,激進主義分子,5
acute,adj.,尖銳的,5
administration,n.,行政,5
administrative,adj.,管理的,5
administrator,n.,管理人,5
adolescent,adj./n.,青春期的,5
adore,v.,崇拜,5
adverse,adj.,不利的,5
advocate,n./v.,提倡者,5
affection,n.,影響,5
agenda,n.,議程,5
aggression,n.,侵犯,5
agony,n.,極大的痛苦,5
agricultural,adj.,農業的,5
aisle,n.,走廊,5
alcoholic,adj./n.,酒鬼,5
alien,adj./n.,外國人,5
allergic,adj.,對...過敏的,5
allergy,n.,變應性,5
alliance,n.,聯盟,5
allocate,v.,分派,5
ally,n./v.,同盟者,5
alongside,prep./adv.,在旁邊,5
alter,v.,改變,5
alternate,adj./v./n.,交替的,5
amend,v.,修改,5
ample,adj.,大量的,5
analyst,n.,分析者,5
anonymous,adj.,姓氏不詳的,5
anticipate,v.,預期,5
antique,adj./n.,古董,5
applause,n.,鼓掌,5
appliance,n.,器械,5
apt,adj.,有...傾向的,5
architect,n.,建築師,5
architecture,n.,建築學,5
arena,n.,角鬥場,5
arouse,v.,喚醒,5
array,n.,排列,5
arrogant,adj.,自大的,5
articulate,v./adj.,發音清晰的,5
